item,name,startDate,endDate,psid
Q16186608,Minerva Castillo Rodríguez,2012-09-01,2015-08-31,Q16186608-5B8C9F1F-D866-40E7-8A9F-D8620D840B51
Q16186677,María de las Nieves García Fernández,2012-09-01,2015-08-31,Q16186677-E3DB9661-9D6F-485C-B044-1975AD31E2FD
Q16186685,Valentín González Bautista,2012-09-01,2015-08-31,Q16186685-F462A33E-DE3D-4E9E-9B01-FBBA522F6ED0
Q16186710,José Antonio Hurtado Gallegos,2012-09-01,2015-08-31,Q16186710-370B4AF9-C3DC-4E90-B48C-272FD7976D47
Q16186781,José Manzur Quiroga,2012-09-01,2015-08-31,Q16186781-F46CE46D-F7AE-49A8-9699-681BF25C754F
Q16186819,Javier Orihuela García,2012-09-01,2015-08-31,Q16186819-F7C11004-15AB-447C-9A17-2929ED1069F8
Q16186821,Loretta Ortiz Ahlf,2012-09-01,2015-08-31,Q16186821-6BC9545F-A970-4664-AD19-9CF990CCBA63
Q16186872,Genaro Ruiz Arriaga,2012-09-01,2015-08-31,Q16186872-D6E14E3F-1267-47D0-B53A-DF77E74E9FC8
Q16187033,Alberto Curi Naime,2012-09-01,2015-08-31,Q16187033-32F4F578-7680-4718-99B4-8DF6B40BC25E
Q16187072,José Luis Flores Méndez,2012-09-01,2015-08-31,Q16187072-1EB3531F-BE28-456A-ACD0-49BD83F7BDA9
Q16187087,Francisco González Vargas,2012-09-01,2015-08-31,Q16187087-F47CE014-7597-4866-B1B6-AB0F29DABC4B
Q16187092,Francisco Grajales Palacios,2012-09-01,2015-08-31,Q16187092-FFD521D4-FC3B-431E-BAAD-55E23FA60887
Q16187202,Ma. Leticia Mendoza Curiel,2012-09-01,2015-08-31,Q16187202-D161441E-25A1-4BC9-B79D-825F25C139FF
Q16187217,José Alejandro Montano Guzmán,2012-09-01,2015-08-31,Q16187217-BF3C290D-CFA3-43D2-9783-24FE4C88DC88
Q16187255,Zita Beatriz Pazzi Maza,2012-09-01,2015-08-31,Q16187255-77EFB7F1-0592-47E1-8492-012AD01FE6F7
Q16187288,Jesús Tolentino Román Bojórquez,2012-09-01,2015-08-31,Q16187288-B657D812-9967-4CF7-80E5-E9395B97BCF2
Q16189058,José Luis Cruz Flores Gómez,2012-09-01,2015-08-31,Q16189058-CAA426D2-A621-4528-AF1A-800D26D1CC73
Q16189416,Héctor Narcia Álvarez,2012-09-01,2015-08-31,Q16189416-7651665D-1431-4FFF-83EC-64F3FD758A46
Q16189521,William Renan Sosa Altamira,2012-09-01,2015-08-31,Q16189521-E70F4592-BE00-4C54-A8AB-19C2DD54B941
Q16189556,José Humberto Vega Vázquez,2012-09-01,2015-08-31,Q16189556-4F1969B8-BB22-4C3B-B3BB-C2818AB34575
Q16190131,Fernando Belaunzarán Méndez,2012-09-01,2015-08-31,Q16190131-57218ADF-7649-4A09-AF14-6B8FF3962944
Q16190187,Juana Bonilla Jaime,2012-09-01,2015-08-31,Q16190187-5B55FD9D-4B78-4C45-AEDB-89CA5EA5941B
